net,length_um
clknet_0_clk,31.28
clk,19.63
clknet_1_1__leaf_clk,16.26
net16,13.46
sensors[4],12.86
net11,12.12
net5,11.82
net24,11.5
net15,11.26
clknet_1_0__leaf_clk,11.21
net1,11
sensors[3],10.87
net3,10.46
sensors[7],9.64
net14,9.1
sensors[5],9.06
parking_spaces[5],8.96
parking_spaces[7],8.96
_01_,8.585
net10,8.34
net13,8
net12,7.64
_05_,7.285
net7,7.22
parking_spaces[6],7.13
sensors[0],6.31
_03_,6.015
net2,5.86
parking_spaces[1],5.75
parking_spaces[3],5.75
net4,5.68
sensors[6],5.63
net18,5.38
parking_spaces[0],5.07
parking_spaces[4],5.07
_04_,4.7
sensors[2],4.61
net9,4.46
parking_spaces[2],4.39
sensors[1],4.27
net22,4
net21,3.42
_00_,3.395
_02_,2.885
_07_,2.885
net17,2.64
net6,2.5
_06_,2.425
net19,2.3
net8,2.16
net20,1.84
net23,1.38
